12:59:31 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch   1/60  train 2.81302  val 0.57747  lr 3.33e-04  0.4s  *
12:59:31 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch   2/60  train 0.47388  val 0.49769  lr 6.67e-04  0.4s  *
12:59:32 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch   3/60  train 0.41873  val 0.49595  lr 1.00e-03  0.4s  *
12:59:32 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch   4/60  train 0.40246  val 0.49890  lr 1.00e-03  0.4s
12:59:33 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch   5/60  train 0.39519  val 0.49179  lr 9.99e-04  0.4s  *
12:59:33 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch   6/60  train 0.38208  val 0.48221  lr 9.97e-04  0.4s  *
12:59:34 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch   7/60  train 0.37629  val 0.47659  lr 9.93e-04  0.4s  *
12:59:34 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch   8/60  train 0.36461  val 0.48681  lr 9.88e-04  0.4s
12:59:34 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch   9/60  train 0.35086  val 0.49231  lr 9.81e-04  0.4s
12:59:35 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch  10/60  train 0.34219  val 0.49131  lr 9.73e-04  0.4s
12:59:35 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch  11/60  train 0.33620  val 0.50134  lr 9.64e-04  0.4s
12:59:36 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch  12/60  train 0.32753  val 0.52942  lr 9.53e-04  0.4s
12:59:36 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch  13/60  train 0.31622  val 0.50344  lr 9.40e-04  0.5s
12:59:36 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch  14/60  train 0.31004  val 0.51635  lr 9.27e-04  0.4s
12:59:37 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch  15/60  train 0.30089  val 0.53649  lr 9.12e-04  0.4s
12:59:37 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch  16/60  train 0.29657  val 0.53195  lr 8.96e-04  0.4s
12:59:38 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch  17/60  train 0.28781  val 0.51399  lr 8.78e-04  0.4s
12:59:38 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch  18/60  train 0.28114  val 0.58298  lr 8.60e-04  0.4s
12:59:38 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch  19/60  train 0.27128  val 0.56886  lr 8.40e-04  0.4s
12:59:39 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch  20/60  train 0.27165  val 0.53053  lr 8.20e-04  0.4s
12:59:39 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch  21/60  train 0.26371  val 0.54882  lr 7.98e-04  0.4s
12:59:40 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s2024 epoch  22/60  train 0.25964  val 0.52796  lr 7.76e-04  0.4s
12:59:40 | INFO    | 16_gap_injection |     lstm_h64_l1      RMSE   96.52  skill +0.0079  (3 seeds)
12:59:40 | INFO    | 16_gap_injection | dlinear_w48_H24_s42: 1634 params | train 21732 windows, val 4251 | 85 steps/epoch | matrix 2.3 MB on device
12:59:40 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch   1/60  train 3.42893  val 3.18962  lr 3.33e-04  0.4s  *
12:59:40 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch   2/60  train 3.32798  val 2.84357  lr 6.67e-04  0.3s  *
12:59:41 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch   3/60  train 3.18687  val 2.60143  lr 1.00e-03  0.3s  *
12:59:41 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch   4/60  train 3.01628  val 2.56966  lr 1.00e-03  0.3s  *
12:59:41 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch   5/60  train 2.85318  val 2.26279  lr 9.99e-04  0.3s  *
12:59:42 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch   6/60  train 2.68862  val 2.19528  lr 9.97e-04  0.3s  *
12:59:42 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch   7/60  train 2.52947  val 1.80648  lr 9.93e-04  0.3s  *
12:59:42 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch   8/60  train 2.36835  val 1.95525  lr 9.88e-04  0.3s
12:59:43 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch   9/60  train 2.21038  val 1.80294  lr 9.81e-04  0.3s  *
12:59:43 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch  10/60  train 2.06028  val 1.73499  lr 9.73e-04  0.3s  *
12:59:43 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch  11/60  train 1.91026  val 1.55533  lr 9.64e-04  0.3s  *
12:59:44 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch  12/60  train 1.76167  val 1.34293  lr 9.53e-04  0.3s  *
12:59:44 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch  13/60  train 1.62550  val 1.24530  lr 9.40e-04  0.3s  *
12:59:44 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch  14/60  train 1.48780  val 1.12499  lr 9.27e-04  0.3s  *
12:59:45 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch  15/60  train 1.37175  val 1.06712  lr 9.12e-04  0.3s  *
12:59:45 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch  16/60  train 1.24161  val 0.92874  lr 8.96e-04  0.3s  *
12:59:45 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch  17/60  train 1.12959  val 0.87116  lr 8.78e-04  0.3s  *
12:59:45 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch  18/60  train 1.02681  val 0.76170  lr 8.60e-04  0.3s  *
12:59:46 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch  19/60  train 0.92895  val 0.69039  lr 8.40e-04  0.3s  *
12:59:46 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch  20/60  train 0.84320  val 0.64857  lr 8.20e-04  0.3s  *
12:59:46 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch  21/60  train 0.77029  val 0.58127  lr 7.98e-04  0.3s  *
12:59:47 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch  22/60  train 0.70381  val 0.56278  lr 7.76e-04  0.3s  *
12:59:47 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch  23/60  train 0.64764  val 0.52787  lr 7.52e-04  0.3s  *
