15:19:08 | INFO    | 16_gap_injection | --force over the full grid: discarding 101 existing cells so a partial run leaves no stale mixture (restart without --force to resume)
15:19:55 | INFO    | 16_gap_injection |     lstm_h64_l1      RMSE  103.06  skill +0.0620  (3 seeds)
15:19:55 | INFO    | 16_gap_injection |     dlinear: 20655 windows, 81 steps/epoch -> 63 epochs (~5103 optimizer steps)
15:19:55 | INFO    | 16_gap_injection | dlinear_w48_H24_s42: resumed from epoch 28 (best val 0.44058)
15:19:55 | INFO    | 16_gap_injection | dlinear_w48_H24_s42: 1634 params | train 20655 windows, val 4105 | 81 steps/epoch | matrix 2.3 MB on device
15:19:55 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch  29/63  train 0.42155  val 0.51393  lr 1.89e-03  0.2s
15:19:56 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch  30/63  train 0.42592  val 0.47306  lr 1.82e-03  0.2s
15:19:56 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch  31/63  train 0.42084  val 0.47451  lr 1.74e-03  0.2s
15:19:56 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch  32/63  train 0.42365  val 0.46152  lr 1.66e-03  0.2s
15:19:56 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch  33/63  train 0.41691  val 0.48955  lr 1.58e-03  0.2s
15:19:56 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch  34/63  train 0.42079  val 0.50815  lr 1.51e-03  0.2s
15:19:57 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch  35/63  train 0.41776  val 0.50163  lr 1.43e-03  0.2s
15:19:57 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch  36/63  train 0.41780  val 0.47514  lr 1.35e-03  0.2s
15:19:57 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch  37/63  train 0.41681  val 0.46325  lr 1.27e-03  0.2s
15:19:57 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch  38/63  train 0.41457  val 0.49127  lr 1.19e-03  0.2s
15:19:58 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch  39/63  train 0.41492  val 0.45922  lr 1.12e-03  0.2s
15:19:58 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch  40/63  train 0.41318  val 0.47360  lr 1.04e-03  0.2s
15:19:58 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch  41/63  train 0.41200  val 0.49541  lr 9.69e-04  0.2s
15:19:58 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch  42/63  train 0.41326  val 0.46994  lr 8.97e-04  0.2s
15:19:59 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch  43/63  train 0.41097  val 0.46244  lr 8.26e-04  0.2s
15:19:59 | INFO    | 16_gap_injection | dlinear_w48_H24_s42 epoch  44/63  train 0.40988  val 0.47280  lr 7.58e-04  0.2s
15:19:59 | INFO    | 16_gap_injection |     dlinear: 20655 windows, 81 steps/epoch -> 63 epochs (~5103 optimizer steps)
15:19:59 | INFO    | 16_gap_injection | dlinear_w48_H24_s1337: resumed from epoch 33 (best val 0.43803)
15:19:59 | INFO    | 16_gap_injection | dlinear_w48_H24_s1337: 1634 params | train 20655 windows, val 4105 | 81 steps/epoch | matrix 2.3 MB on device
15:19:59 | INFO    | 16_gap_injection | dlinear_w48_H24_s1337 epoch  34/63  train 0.41794  val 0.48639  lr 1.51e-03  0.2s
15:19:59 | INFO    | 16_gap_injection | dlinear_w48_H24_s1337 epoch  35/63  train 0.41874  val 0.45483  lr 1.43e-03  0.2s
15:20:00 | INFO    | 16_gap_injection | dlinear_w48_H24_s1337 epoch  36/63  train 0.41567  val 0.47382  lr 1.35e-03  0.2s
15:20:00 | INFO    | 16_gap_injection | dlinear_w48_H24_s1337 epoch  37/63  train 0.41709  val 0.47951  lr 1.27e-03  0.2s
15:20:00 | INFO    | 16_gap_injection | dlinear_w48_H24_s1337 epoch  38/63  train 0.41622  val 0.49290  lr 1.19e-03  0.2s
15:20:00 | INFO    | 16_gap_injection | dlinear_w48_H24_s1337 epoch  39/63  train 0.41555  val 0.46387  lr 1.12e-03  0.2s
15:20:00 | INFO    | 16_gap_injection | dlinear_w48_H24_s1337 epoch  40/63  train 0.41262  val 0.46693  lr 1.04e-03  0.2s
15:20:01 | INFO    | 16_gap_injection | dlinear_w48_H24_s1337 epoch  41/63  train 0.41547  val 0.47791  lr 9.69e-04  0.2s
15:20:01 | INFO    | 16_gap_injection | dlinear_w48_H24_s1337 epoch  42/63  train 0.41216  val 0.48034  lr 8.97e-04  0.2s
15:20:01 | INFO    | 16_gap_injection | dlinear_w48_H24_s1337 epoch  43/63  train 0.41319  val 0.48065  lr 8.26e-04  0.2s
15:20:01 | INFO    | 16_gap_injection | dlinear_w48_H24_s1337 epoch  44/63  train 0.41300  val 0.44959  lr 7.58e-04  0.2s
15:20:02 | INFO    | 16_gap_injection | dlinear_w48_H24_s1337 epoch  45/63  train 0.40782  val 0.47880  lr 6.91e-04  0.2s
15:20:02 | INFO    | 16_gap_injection | dlinear_w48_H24_s1337 epoch  46/63  train 0.40886  val 0.46750  lr 6.26e-04  0.2s
15:20:02 | INFO    | 16_gap_injection | dlinear_w48_H24_s1337 epoch  47/63  train 0.40858  val 0.46099  lr 5.64e-04  0.2s
15:20:02 | INFO    | 16_gap_injection | dlinear_w48_H24_s1337 epoch  48/63  train 0.40621  val 0.47391  lr 5.05e-04  0.2s
15:20:03 | INFO    | 16_gap_injection | dlinear_w48_H24_s1337 epoch  49/63  train 0.40664  val 0.45561  lr 4.48e-04  0.2s
15:20:03 | INFO    | 16_gap_injection |     dlinear: 20655 windows, 81 steps/epoch -> 63 epochs (~5103 optimizer steps)
15:20:03 | INFO    | 16_gap_injection | dlinear_w48_H24_s2024: resumed from epoch 30 (best val 0.45106)
15:20:03 | INFO    | 16_gap_injection | dlinear_w48_H24_s2024: 1634 params | train 20655 windows, val 4105 | 81 steps/epoch | matrix 2.3 MB on device
15:20:03 | INFO    | 16_gap_injection | dlinear_w48_H24_s2024 epoch  31/63  train 0.42020  val 0.47994  lr 1.74e-03  0.2s
15:20:03 | INFO    | 16_gap_injection | dlinear_w48_H24_s2024 epoch  32/63  train 0.42123  val 0.45644  lr 1.66e-03  0.2s
