Model,Window (h),h (hours),Params,Seeds,RMSE,MAE,R2,Skill
gru_h64_l1,168,12,16193,5,60.05 ± 0.95,37.32 ± 0.50,0.573 ± 0.014,0.3914 ± 0.0096
gru_h32_l1,24,12,5025,5,60.12 ± 1.34,37.42 ± 0.58,0.572 ± 0.019,0.3906 ± 0.0136
gru_h64_l2,168,12,41153,5,60.21 ± 1.30,37.23 ± 0.66,0.571 ± 0.019,0.3897 ± 0.0132
gru_h32_l1,168,12,5025,5,60.46 ± 1.04,37.48 ± 0.40,0.567 ± 0.015,0.3872 ± 0.0105
nlinear,168,12,3027,5,65.59 ± 2.12,41.83 ± 1.66,0.491 ± 0.033,0.3351 ± 0.0215
dlinear,24,12,866,5,67.15 ± 2.63,42.08 ± 1.90,0.466 ± 0.043,0.3194 ± 0.0267
dlinear,48,12,1730,5,67.26 ± 1.58,42.60 ± 1.41,0.465 ± 0.026,0.3182 ± 0.0160
nlinear,48,12,867,5,69.01 ± 1.86,42.86 ± 1.17,0.436 ± 0.031,0.3005 ± 0.0188
dlinear,168,12,6050,5,71.22 ± 2.95,45.37 ± 2.47,0.399 ± 0.049,0.2781 ± 0.0299
nlinear,24,12,435,5,76.83 ± 1.80,45.36 ± 0.82,0.301 ± 0.033,0.2213 ± 0.0183
lstm_h64_l2,24,24,54849,5,57.65 ± 0.65,36.94 ± 0.64,0.609 ± 0.009,0.2184 ± 0.0088
gru_h64_l1,24,24,16193,5,57.70 ± 0.44,36.91 ± 0.83,0.609 ± 0.006,0.2178 ± 0.0059
lstm_h64_l1,24,24,21569,5,57.77 ± 0.39,36.56 ± 0.55,0.608 ± 0.005,0.2168 ± 0.0053
lstm_h64_l1,48,24,21569,5,57.85 ± 0.86,36.73 ± 0.47,0.607 ± 0.012,0.2158 ± 0.0116
lstm_h128_l1,168,24,75905,5,57.85 ± 1.17,36.67 ± 0.45,0.607 ± 0.016,0.2157 ± 0.0159
lstm_h64_l1,168,24,21569,5,57.94 ± 0.71,36.56 ± 0.39,0.605 ± 0.010,0.2146 ± 0.0097
gru_h64_l1,48,24,16193,5,57.96 ± 0.58,36.49 ± 0.31,0.605 ± 0.008,0.2142 ± 0.0078
lstm_h128_l1,48,24,75905,5,58.15 ± 1.07,36.77 ± 0.54,0.603 ± 0.015,0.2117 ± 0.0145
lstm_h32_l1,168,24,6689,5,58.22 ± 0.65,36.45 ± 0.03,0.602 ± 0.009,0.2108 ± 0.0088
lstm_h32_l1,48,24,6689,5,58.22 ± 0.77,36.52 ± 0.19,0.602 ± 0.011,0.2107 ± 0.0105
lstm_h128_l1,24,24,75905,5,58.23 ± 1.10,37.27 ± 0.97,0.601 ± 0.015,0.2106 ± 0.0149
gru_h128_l1,24,24,56961,5,58.31 ± 0.92,36.54 ± 0.22,0.600 ± 0.013,0.2095 ± 0.0125
lstm_h32_l1,24,24,6689,5,58.48 ± 1.20,36.62 ± 0.36,0.598 ± 0.017,0.2072 ± 0.0163
gru_h64_l1,168,24,16193,5,58.60 ± 0.83,36.91 ± 0.19,0.596 ± 0.011,0.2055 ± 0.0113
gru_h64_l2,48,24,41153,5,58.97 ± 1.01,37.07 ± 0.25,0.591 ± 0.014,0.2005 ± 0.0138
lstm_h64_l2,168,24,54849,5,59.06 ± 1.88,37.23 ± 0.68,0.590 ± 0.026,0.1993 ± 0.0255
gru_h64_l2,24,24,41153,5,59.06 ± 1.27,37.44 ± 0.64,0.590 ± 0.018,0.1993 ± 0.0172
gru_h32_l1,24,24,5025,5,59.10 ± 1.36,36.77 ± 0.60,0.589 ± 0.019,0.1988 ± 0.0185
gru_h64_l2,168,24,41153,5,59.11 ± 1.38,37.47 ± 0.64,0.589 ± 0.019,0.1987 ± 0.0187
lstm_h32_l2,48,24,15137,5,59.43 ± 1.39,37.18 ± 0.46,0.585 ± 0.019,0.1944 ± 0.0189
lstm_h32_l2,24,24,15137,5,59.47 ± 1.78,37.27 ± 0.55,0.584 ± 0.025,0.1937 ± 0.0241
lstm_h64_l2,48,24,54849,5,59.55 ± 2.05,37.32 ± 0.54,0.583 ± 0.029,0.1927 ± 0.0277
gru_h128_l1,168,24,56961,5,59.57 ± 1.98,37.49 ± 0.82,0.583 ± 0.028,0.1924 ± 0.0268
gru_h32_l1,48,24,5025,5,59.57 ± 1.05,36.91 ± 0.39,0.583 ± 0.015,0.1924 ± 0.0143
