model,window,horizon_h,seed,n_params,rmse,mae,r2,smape,bias,n,skill_vs_persistence
gru_h64_l1,24,6,1337,16193,55.92547631215683,35.09132245381946,0.6298865988139659,30.634610865073732,-8.940018499005813,9277,0.32352051984183816
gru_h64_l1,24,6,2024,16193,55.72362277922203,35.53877681475929,0.6325535004959649,30.631047129513245,-1.2980307736733445,9277,0.32596215792938255
gru_h64_l1,24,6,7,16193,56.65766300317338,34.73792307721217,0.6201319730541265,30.344882684880808,-13.508094390658233,9277,0.31466392523095
gru_h64_l1,24,6,31415,16193,54.97113035586951,34.808061774119466,0.6424104968236444,30.230796671432525,-5.072431078168945,9277,0.3350643724645105
gru_h64_l1,24,12,42,16193,59.627445962586734,37.249380180004955,0.5793889619614135,32.35718504560783,-11.95459171846511,9212,0.39559485890950274
gru_h64_l1,24,12,1337,16193,57.50660985124903,36.21793079249587,0.6087775378329927,31.610900528258206,-6.001219696896526,9212,0.41709241307117484
gru_h64_l1,24,12,2024,16193,59.66555633185374,37.80709618667284,0.5788511302860003,32.81954306857152,-9.8234926702204,9212,0.3952085585617017
gru_h64_l1,24,12,7,16193,58.488272811543574,36.486113383632656,0.5953068588948955,31.672944799557158,-10.158831253229824,9212,0.4071419258342669
gru_h64_l1,24,12,31415,16193,58.7938774806264,36.769072116082484,0.5910667192910349,31.82902052877685,-10.056436275219946,9212,0.40404420749075753
gru_h64_l1,24,24,42,16193,57.24376348973644,36.167555464167535,0.6149080276426266,31.985369478165453,-7.788552488884141,9083,0.22396501939369406
gru_h64_l1,24,24,1337,16193,57.23559751855922,36.3378100560519,0.6150178885413142,31.78917486512439,-5.5680672570254774,9083,0.22407572279434107
gru_h64_l1,24,24,2024,16193,58.12004764983694,38.272666011717874,0.6030278573967114,33.138587093877334,3.315628771259221,9083,0.21208552161554517
gru_h64_l1,24,24,7,16193,57.80538205117171,36.82643548179553,0.6073146856849609,32.23333889889714,-4.600141125262154,9083,0.2163513402282824
gru_h64_l1,24,24,31415,16193,58.09226207121835,36.94702465234451,0.6034073293528228,32.37545800419556,-4.238223435775093,9083,0.21246220161787033
gru_h64_l1,48,1,42,16193,34.42521732768432,19.330521891049713,0.8598790876840878,17.652437439989807,-2.5154648987582746,9334,0.05894702742536184
gru_h64_l1,48,1,1337,16193,35.04252347190817,19.59017108344615,0.8548087912643016,17.828004880305464,-1.8445076062894201,9334,0.04207225285296512
gru_h64_l1,48,1,2024,16193,35.33556212385124,19.5118979738009,0.8523703520613467,17.733686747573195,-3.2433874213510028,9334,0.03406170372947348
gru_h64_l1,48,1,7,16193,35.48011849311804,19.48906111201861,0.851159987385768,17.674829247928635,-4.683534057086805,9334,0.030110088850524797
