model,horizon_h,stratum,group,n,rmse,mae,r2,smape,bias,reference_rmse,skill_vs_persistence
sarimax,6,pollution,observed <= 65 ug/m3,2095,46.23140403636066,26.283963439153645,-5.49313781313499,70.58531369230914,23.068958278828703,53.4532372399331,0.1351056283299762
sarimax,6,pollution,observed > 35 ug/m3,2432,60.22826367504351,39.47103381131075,0.596379510340593,32.34233065725962,-20.599907309014846,62.11472885400897,0.030370657874065787
sarimax,6,pollution,observed <= 35 ug/m3,1483,50.25416094603479,28.64930137463178,-28.864634664373146,86.34037056780761,28.261864900640877,57.11898595895323,0.12018464434665621
ridge,6,overall,all,3921,82.4683670319321,42.85477439013218,0.23462009009144347,52.05922810277731,-2.927625719254964,60.27394741981769,-0.3682257519575869
ridge,6,season,monsoon (wet),970,32.949621635397754,23.619354655072954,0.4345264074454107,47.97119392409398,-4.538909060103804,33.12492754320027,0.005292265396622864
ridge,6,season,dry,2951,93.16480355050561,49.17749792215776,0.1902359823152171,53.40297366473015,-2.397993445238231,66.83139058762204,-0.39402760785529467
ridge,6,pollution,observed > 65 ug/m3,1821,108.62034500672317,66.89162151016383,-0.3332550040266691,44.30720384450002,-26.869415270995564,67.28666941812364,-0.6142921910987962
ridge,6,pollution,observed <= 65 ug/m3,2100,49.67511571689013,22.011394101761887,-6.4477789051397245,58.781340566740624,17.833326077754382,53.4532372399331,0.07068087394004385
ridge,6,pollution,observed > 35 ug/m3,2438,95.70072861105683,54.55330440022343,-0.020198989430104675,40.64438777793944,-18.38834394468728,62.11472885400897,-0.5407091100081356
ridge,6,pollution,observed <= 35 ug/m3,1483,54.08533338358968,23.622801251492636,-33.59172150775419,70.82482534617226,22.48925292781448,57.11898595895323,0.05311110700640931
random_forest,6,overall,all,3921,61.713548587294724,35.48093246325167,0.5713890054796968,45.76562765745737,-15.006146311255316,60.27394741981769,-0.023884302075820374
random_forest,6,season,monsoon (wet),970,31.019419858566177,20.881182964047465,0.4988372232695737,40.50864705443417,-3.045825896578475,33.12492754320027,0.06356263517522176
random_forest,6,season,dry,2951,68.8779059078822,40.27990129220051,0.5573967492940961,47.49360840463884,-18.93752916528328,66.83139058762204,-0.030622066999743014
random_forest,6,pollution,observed > 65 ug/m3,1821,82.58104903254349,54.874067132928054,0.22935980445746484,37.693251237909735,-47.18657561668388,67.28666941812364,-0.22730177829696996
random_forest,6,pollution,observed <= 65 ug/m3,2100,34.605437936782174,18.66431425683228,-2.614412371666086,52.765531209836546,12.898883100737748,53.4532372399331,0.3526035143306602
random_forest,6,pollution,observed > 35 ug/m3,2438,72.80016245461421,45.629644760575374,0.40963704570591997,36.453201346312945,-33.74055716691347,62.11472885400897,-0.1720273725370305
random_forest,6,pollution,observed <= 35 ug/m3,1483,36.836321509731995,18.796805301501692,-15.045958456661861,61.07492998151005,15.792568230952762,57.11898595895323,0.3550949672635424
xgboost,6,overall,all,3921,62.678816736198016,35.026262168990655,0.5578762483783235,44.99284139165948,-13.155802821481346,60.27394741981769,-0.0398989848736806
