model,window,horizon_h,seed,n_params,rmse,mae,r2,smape,bias,n,skill_vs_persistence
gru_h32_l1,168,12,42,12513,81.63492340050755,50.71910425038151,0.2557560780715903,63.38773405101491,-21.6484761432133,3885,-0.04660738269981213
gru_h32_l1,168,12,1337,12513,74.82098736813523,47.16270664833606,0.37481264209580034,60.43032810111447,-16.791126330864504,3885,0.04075125573165095
gru_h32_l1,168,12,2024,12513,76.76890136081519,49.307337970824186,0.3418362355297132,63.63809162860235,-21.35002806378527,3885,0.01577786100448153
gru_h32_l1,168,12,7,12513,76.59654985184031,48.503761818867645,0.34478816477833174,61.87699742892659,-16.336389835053446,3885,0.01798750798151838
gru_h32_l1,168,12,31415,12513,77.24130351033187,48.84307056631139,0.33371121099568024,62.54483718729292,-18.096674086638608,3885,0.009721389623210563
gru_h32_l1,168,24,42,12513,92.87635039424762,61.059553260855374,0.05190366530712809,77.94984960510087,-25.238295934222357,3813,0.04538324939947058
gru_h32_l1,168,24,1337,12513,100.89896527970491,65.0348075722785,-0.11896270073087933,85.04286305942527,-30.293465634318405,3813,-0.037076090580677956
gru_h32_l1,168,24,2024,12513,91.04648595151752,60.621330664386335,0.08889472380953967,77.77574999419132,-25.370506596108577,3813,0.06419125855296814
gru_h32_l1,168,24,7,12513,93.17488743907052,61.33427406927638,0.04579884369184928,78.82328797575109,-27.58970435434845,3813,0.04231477758233981
gru_h32_l1,168,24,31415,12513,93.92462427998895,61.01000418632428,0.030380998133376913,79.41927389691898,-31.886672040166463,3813,0.034608710926566144
gru_h32_l2,24,1,42,18849,24.447372240464873,12.312733424765117,0.9323782676585983,21.57081683741681,-3.429972787612787,3951,-0.14888651298221167
gru_h32_l2,24,1,1337,18849,26.26761635534999,12.926806376907837,0.9219337619962937,21.360734193947888,-5.229589612960876,3951,-0.2344275639122313
gru_h32_l2,24,1,2024,18849,26.319044467625634,12.993143018472862,0.921627778431547,21.694280196407806,-4.454179701968124,3951,-0.23684439071882868
gru_h32_l2,24,1,7,18849,26.647301575946468,12.903190433153206,0.9196606347833538,21.35523611209921,-4.801716853088789,3951,-0.25227059525446904
gru_h32_l2,24,1,31415,18849,26.977501191300703,12.940468754240309,0.9176572508210052,21.293753856795746,-3.843234646262645,3951,-0.267788086498149
gru_h32_l2,24,3,42,18849,48.43062045025124,26.519018322432494,0.735124913410675,36.006059422712795,-13.691420539006101,3939,-0.14218263372091133
gru_h32_l2,24,3,1337,18849,47.33389032891875,25.51735637989805,0.7469854793326073,35.11901225124822,-10.620475525832186,3939,-0.11631746646063723
gru_h32_l2,24,3,2024,18849,42.952550405833385,23.976560009438447,0.7916569784917018,34.83460326695513,-2.9010003400077724,3939,-0.012988408809668117
